"AD_PERFORMANCE_REPORT (Jul 1, 2022-Jul 6, 2022)"
Ad,Headline 1,Headline 2,Expanded Text Ad Headline 3,Display URL,Description,Description line 1,Description line 2,Ad type,Ad ID,Impressions,Clicks,Cost,Conversions,Responsive Search Ad headlines,Responsive Search Ad descriptions,Responsive Search Ad path 1,Responsive Search Ad path 2,Expanded Text Ad Description 2,Expanded Dynamic Search Ad Description 2,Final URL,Path 1,Path 2,Long headline,Headlines (multi asset responsive display),Long headline (multi asset responsive display),Descriptions (multi asset responsive display),CTR,Day
, --, --, --,, --,,,Responsive search ad,606190171672,23,2,430000,0.00,"[{""assetText"":""Lectron Tesla to J1772 Adapter"",""assetId"":14440103828,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Commercial & Home EV Charging"",""assetId"":42496328682,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Combined Charging System"",""assetId"":42451844947,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Shipping Order above $35"",""assetId"":42676466350,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Connectors"",""assetId"":42451844965,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron J1772 For EV"",""assetId"":42451844959,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now - Lectron"",""assetId"":42451844950,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 Home EV Charger"",""assetId"":42724003719,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla EV Charging Adapter"",""assetId"":42451844938,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron Level 2 EV Charger"",""assetId"":42676466347,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""For J1772 Vehicle Owners"",""assetId"":39754748088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron EV - Charging Adapter"",""assetId"":42451844953,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron EV - J1772 Charger"",""assetId"":42676466353,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to ccs Adapter"",""assetId"":42676466356,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla to J1772 Adapter"",""assetId"":15047971231,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Shop J1772 Charging Adapter for EV from Lectron, Economic price. Shop by Vehicle Type"",""assetId"":42451844956,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We Provide Both Type1 and Type 2 Portable EV Chargers. Shop Online J1772 Charging Adapter"",""assetId"":42757429562,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Charger & Adapters for Electric Vehicle, Great Offers. Low Prices. Best Deals. Shop Now"",""assetId"":42724003713,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron Offers type 1 J1772 home EV charger. Wide Range. Economic Price. Shop Now"",""assetId"":42724003722,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",J1772 Charger,ccs adapter, --, --,"[""https://ev-lectron.com/collections/j1772-owners""]", --, --, --, --, --, --,8.70%,2022-07-05
, --, --, --,, --,,,Responsive search ad,606190171672,76,4,5020000,0.00,"[{""assetText"":""Lectron Tesla to J1772 Adapter"",""assetId"":14440103828,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Commercial & Home EV Charging"",""assetId"":42496328682,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Combined Charging System"",""assetId"":42451844947,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Shipping Order above $35"",""assetId"":42676466350,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Connectors"",""assetId"":42451844965,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron J1772 For EV"",""assetId"":42451844959,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now - Lectron"",""assetId"":42451844950,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 Home EV Charger"",""assetId"":42724003719,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla EV Charging Adapter"",""assetId"":42451844938,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron Level 2 EV Charger"",""assetId"":42676466347,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""For J1772 Vehicle Owners"",""assetId"":39754748088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron EV - Charging Adapter"",""assetId"":42451844953,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron EV - J1772 Charger"",""assetId"":42676466353,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to ccs Adapter"",""assetId"":42676466356,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla to J1772 Adapter"",""assetId"":15047971231,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Shop J1772 Charging Adapter for EV from Lectron, Economic price. Shop by Vehicle Type"",""assetId"":42451844956,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We Provide Both Type1 and Type 2 Portable EV Chargers. Shop Online J1772 Charging Adapter"",""assetId"":42757429562,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Charger & Adapters for Electric Vehicle, Great Offers. Low Prices. Best Deals. Shop Now"",""assetId"":42724003713,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron Offers type 1 J1772 home EV charger. Wide Range. Economic Price. Shop Now"",""assetId"":42724003722,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",J1772 Charger,ccs adapter, --, --,"[""https://ev-lectron.com/collections/j1772-owners""]", --, --, --, --, --, --,5.26%,2022-07-06
, --, --, --,, --,,,Responsive search ad,606190666984,132,10,8880000,0.00,"[{""assetText"":""{KeyWord:EV Charging Connector}"",""assetId"":42676609900,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Commercial & Home EV Charging"",""assetId"":42496328682,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Quality Products"",""assetId"":42450457759,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to ccs Adapter"",""assetId"":42676466356,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Connectors"",""assetId"":42451844965,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron J1772 For EV"",""assetId"":42451844959,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now - Lectron"",""assetId"":42451844950,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 Home EV Charger"",""assetId"":42724003719,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Tesla Charging Adapters"",""assetId"":42469129865,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Hurry Up, Shop Now"",""assetId"":42469129859,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""For J1772 Vehicle Owners"",""assetId"":39754748088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron EV - Charging Adapter"",""assetId"":42451844953,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla to J1772 Adapter"",""assetId"":15047971231,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Leading USA's EV Charger Adapter & Accessory Store at Lowest Price. Hurry Up. Shop Today"",""assetId"":42469129853,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Powerful, Reliable, & Innovative Electric Vehicle Charging Stations. Shop EV Chargers Now"",""assetId"":42738654424,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Charge Your Non-Tesla EV at Thousands of Tesla Charging Stations. Buy Now"",""assetId"":42738654427,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""EV Charging Connectors, Buy for Tesla Owners. Affordable Price. Shop Now"",""assetId"":42469129850,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",J1772 Charger,ccs adapter, --, --,"[""https://ev-lectron.com/collections/j1772-owners""]", --, --, --, --, --, --,7.58%,2022-07-06
, --, --, --,, --,,,Responsive search ad,606178444525,55,1,1080000,0.00,"[{""assetText"":""EV Charger Adapter"",""assetId"":42466696523,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Commercial & Home EV Charging"",""assetId"":42496328682,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""EV Charger Level 2 Adapter"",""assetId"":42466696529,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Free Shipping Order Above $35"",""assetId"":42757959122,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Charging"",""assetId"":42496328658,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Charger"",""assetId"":42496328652,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now- Lectron"",""assetId"":42496328667,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Car Charger Adapter"",""assetId"":42466696511,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Prices, Deals And Offers"",""assetId"":42496328661,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Faster - Charging Speeds"",""assetId"":42496328685,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Exclusive Offers"",""assetId"":42496328688,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""240V Outlet - Electric Car"",""assetId"":42451319065,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Ships Within 1 -2 Working Days"",""assetId"":42466696505,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron CCS Charger Adapter"",""assetId"":42466696514,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to Tesla Adapter"",""assetId"":42759445004,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Lectron Tesla Wall Charger to J1772 Adapter is Uniquely Designed to Connect"",""assetId"":42740924923,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron Electric Vehicle Charging Adapter — Lectron EV Shop Online Today"",""assetId"":42740924929,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get All Your Electric Car Charger Adapter, From My Lectron. Powerfull Charging. Buy Now"",""assetId"":42740924926,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Browse Through the List Of EV Vehicle Charging Accessories. Shop Online Now."",""assetId"":42466696508,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",tesla charger,adapter 220v, --, --,"[""https://ev-lectron.com/collections/ev-adapters""]", --, --, --, --, --, --,1.82%,2022-07-06
, --, --, --,, --,,,Responsive search ad,606190666984,1,1,120000,0.00,"[{""assetText"":""{KeyWord:EV Charging Connector}"",""assetId"":42676609900,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Commercial & Home EV Charging"",""assetId"":42496328682,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Quality Products"",""assetId"":42450457759,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to ccs Adapter"",""assetId"":42676466356,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Connectors"",""assetId"":42451844965,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron J1772 For EV"",""assetId"":42451844959,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now - Lectron"",""assetId"":42451844950,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 Home EV Charger"",""assetId"":42724003719,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Tesla Charging Adapters"",""assetId"":42469129865,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Hurry Up, Shop Now"",""assetId"":42469129859,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""For J1772 Vehicle Owners"",""assetId"":39754748088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron EV - Charging Adapter"",""assetId"":42451844953,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla to J1772 Adapter"",""assetId"":15047971231,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Leading USA's EV Charger Adapter & Accessory Store at Lowest Price. Hurry Up. Shop Today"",""assetId"":42469129853,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Powerful, Reliable, & Innovative Electric Vehicle Charging Stations. Shop EV Chargers Now"",""assetId"":42738654424,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Charge Your Non-Tesla EV at Thousands of Tesla Charging Stations. Buy Now"",""assetId"":42738654427,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""EV Charging Connectors, Buy for Tesla Owners. Affordable Price. Shop Now"",""assetId"":42469129850,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",J1772 Charger,ccs adapter, --, --,"[""https://ev-lectron.com/collections/j1772-owners""]", --, --, --, --, --, --,100.00%,2022-07-04
, --, --, --,, --,,,Responsive search ad,606190666984,22,1,360000,0.00,"[{""assetText"":""{KeyWord:EV Charging Connector}"",""assetId"":42676609900,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Commercial & Home EV Charging"",""assetId"":42496328682,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Top Quality Products"",""assetId"":42450457759,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to ccs Adapter"",""assetId"":42676466356,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Connectors"",""assetId"":42451844965,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron J1772 For EV"",""assetId"":42451844959,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now - Lectron"",""assetId"":42451844950,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 Home EV Charger"",""assetId"":42724003719,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Tesla Charging Adapters"",""assetId"":42469129865,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Hurry Up, Shop Now"",""assetId"":42469129859,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""For J1772 Vehicle Owners"",""assetId"":39754748088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron EV - Charging Adapter"",""assetId"":42451844953,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla to J1772 Adapter"",""assetId"":15047971231,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Leading USA's EV Charger Adapter & Accessory Store at Lowest Price. Hurry Up. Shop Today"",""assetId"":42469129853,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Powerful, Reliable, & Innovative Electric Vehicle Charging Stations. Shop EV Chargers Now"",""assetId"":42738654424,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Charge Your Non-Tesla EV at Thousands of Tesla Charging Stations. Buy Now"",""assetId"":42738654427,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""EV Charging Connectors, Buy for Tesla Owners. Affordable Price. Shop Now"",""assetId"":42469129850,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",J1772 Charger,ccs adapter, --, --,"[""https://ev-lectron.com/collections/j1772-owners""]", --, --, --, --, --, --,4.55%,2022-07-05
, --, --, --,, --,,,Responsive search ad,606113834046,1,0,0,0.00,"[{""assetText"":""Charger Adapter 220v"",""assetId"":42498742497,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron CCS Charger Adapter"",""assetId"":42466696514,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""EV Charger Level 2 Adapter"",""assetId"":42466696529,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla Charging Adapter 60Amp"",""assetId"":42759444998,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 Charging Adapter"",""assetId"":42759445007,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Charger"",""assetId"":42496328652,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now- Lectron"",""assetId"":42496328667,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Car Charger Adapter"",""assetId"":42466696511,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Prices, Deals And Offers"",""assetId"":42496328661,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Stay Up-to-Date Adapter"",""assetId"":42466818248,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Towing With Your Tesla"",""assetId"":42466818242,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""240v Outlet - Electric Car"",""assetId"":42468681149,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Ships Within 1 -2 Working Days"",""assetId"":42466696505,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to Tesla Adapter"",""assetId"":42759445004,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Electric Cable Plug Adapter EV Charger Level 2 Adapter. Shop Now"",""assetId"":42466818251,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Stay Up-to-Date J1772 Charging Adapter, with the latest CCS and EV Charging Technology"",""assetId"":42759445010,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Looking for Lectron CCS Charger Adapter for EV? We are one of the EV Charger Seller."",""assetId"":42759445001,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Your EV Charging Adapters. Great Offers. Low Prices. Shop From the Collection Today!"",""assetId"":42466818254,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",tesla charger,adapter 220v, --, --,"[""https://ev-lectron.com/collections/ev-adapters""]", --, --, --, --, --, --,0.00%,2022-07-05
, --, --, --,, --,,,Responsive search ad,606109167339,1,0,0,0.00,"[{""assetText"":""EV Charging Connectors"",""assetId"":42496328664,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Commercial & Home EV Charging"",""assetId"":42496328682,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Ships Within 1 -2 Working Days"",""assetId"":42466696505,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""EV Chargers and Parts"",""assetId"":42784808823,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Charging"",""assetId"":42496328658,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Charger"",""assetId"":42496328652,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now- Lectron"",""assetId"":42496328667,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Affordable prices"",""assetId"":42496328676,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Prices, Deals And Offers"",""assetId"":42496328661,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Faster - Charging Speeds"",""assetId"":42496328685,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Exclusive Offers"",""assetId"":42496328688,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""240 Volt Outlet - Electric Car"",""assetId"":42496328670,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Powerful Level 2 EV Charger"",""assetId"":42784808826,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Get All Your electric car charger, From My Lectron. Powerful Level 2 EV Charger"",""assetId"":42784808829,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron Electric Vehicle Charging — Lectron EV Shop Online Today"",""assetId"":42496328673,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""V-BOX has a maximum output of 48 amps, faster-charging speed. Shop Now"",""assetId"":42496328646,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Find the Right Charging Solution for Your Electric Vehicle with Lectron"",""assetId"":42496328679,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",EV Chargers, --, --, --,"[""https://ev-lectron.com/collections/ev-charging-stations""]", --, --, --, --, --, --,0.00%,2022-07-06
, --, --, --,, --,,,Responsive search ad,606113834046,101,3,2550000,0.00,"[{""assetText"":""Charger Adapter 220v"",""assetId"":42498742497,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lectron CCS Charger Adapter"",""assetId"":42466696514,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""EV Charger Level 2 Adapter"",""assetId"":42466696529,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tesla Charging Adapter 60Amp"",""assetId"":42759444998,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 Charging Adapter"",""assetId"":42759445007,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Vehicle Charger"",""assetId"":42496328652,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Now- Lectron"",""assetId"":42496328667,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Electric Car Charger Adapter"",""assetId"":42466696511,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Prices, Deals And Offers"",""assetId"":42496328661,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Stay Up-to-Date Adapter"",""assetId"":42466818248,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Towing With Your Tesla"",""assetId"":42466818242,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""240v Outlet - Electric Car"",""assetId"":42468681149,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Ships Within 1 -2 Working Days"",""assetId"":42466696505,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""J1772 to Tesla Adapter"",""assetId"":42759445004,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Electric Cable Plug Adapter EV Charger Level 2 Adapter. Shop Now"",""assetId"":42466818251,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Stay Up-to-Date J1772 Charging Adapter, with the latest CCS and EV Charging Technology"",""assetId"":42759445010,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Looking for Lectron CCS Charger Adapter for EV? We are one of the EV Charger Seller."",""assetId"":42759445001,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Order Your EV Charging Adapters. Great Offers. Low Prices. Shop From the Collection Today!"",""assetId"":42466818254,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",tesla charger,adapter 220v, --, --,"[""https://ev-lectron.com/collections/ev-adapters""]", --, --, --, --, --, --,2.97%,2022-07-06
Total, --, --, --, --, --, --, --, --, --,412,22,18440000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,5.34%, --
